"","color","rank","hex"
"622","lime yellow",622,"#d0fe1d"
"623","hot green",623,"#25ff29"
"624","grape purple",624,"#5d1451"
"625","faded orange",625,"#f0944d"
"626","avocado green",626,"#87a922"
"627","peacock blue",627,"#016795"
"628","weird green",628,"#3ae57f"
"629","bright lilac",629,"#c95efb"
"630","fern green",630,"#548d44"
"631","dirty blue",631,"#3f829d"
"632","rust orange",632,"#c45508"
"633","heather",633,"#a484ac"
"634","deep teal",634,"#00555a"
"635","dark seafoam",635,"#1fb57a"
"636","baby poo",636,"#ab9004"
"637","yellowgreen",637,"#bbf90f"
"638","light sage",638,"#bcecac"
"639","light aquamarine",639,"#7bfdc7"
"640","spearmint",640,"#1ef876"
"641","bright lime",641,"#87fd05"
"642","vibrant green",642,"#0add08"
"643","very pale green",643,"#cffdbc"
"644","faded yellow",644,"#feff7f"
"645","bile",645,"#b5c306"
"646","viridian",646,"#1e9167"
"647","very light pink",647,"#fff4f2"
"648","puke brown",648,"#947706"
"649","medium pink",649,"#f36196"
"650","ugly purple",650,"#a442a0"
"651","sunshine yellow",651,"#fffd37"
"652","seaweed green",652,"#35ad6b"
"653","light periwinkle",653,"#c1c6fc"
"654","lemon green",654,"#adf802"
"655","greeny brown",655,"#696006"
"656","dark grey blue",656,"#29465b"
"657","bright olive",657,"#9cbb04"
"658","turtle green",658,"#75b84f"
"659","pale sky blue",659,"#bdf6fe"
"660","light mustard",660,"#f7d560"
"661","diarrhea",661,"#9f8303"
"662","dark aquamarine",662,"#017371"
"663","brownish pink",663,"#c27e79"
"664","baby shit green",664,"#889717"
"665","purpley",665,"#8756e4"
"666","greyblue",666,"#77a1b5"
"667","hot magenta",667,"#f504c9"
"668","blue/grey",668,"#758da3"
"669","pale",669,"#fff9d0"
"670","cool green",670,"#33b864"
"671","sandy yellow",671,"#fdee73"
"672","eggshell blue",672,"#c4fff7"
"673","barf green",673,"#94ac02"
"674","baby green",674,"#8cff9e"
"675","vibrant purple",675,"#ad03de"
"676","brown grey",676,"#8d8468"
"677","water blue",677,"#0e87cc"
"678","lipstick red",678,"#c0022f"
"679","banana yellow",679,"#fafe4b"
"680","wisteria",680,"#a87dc2"
"681","purple brown",681,"#673a3f"
"682","brown yellow",682,"#b29705"
"683","purple/pink",683,"#d725de"
"684","lemon lime",684,"#bffe28"
